CODUSU;NRO_HOGAR;REALIZADA;ANO4ZADA;TRIMESTRE;REGIONRE;MAS_500;AGLOMERADO;PONDERADO;IV1ERA;IV1_ESP;IV2ESP;IV3;IV3_ESP;IV4ESP;IV5;IV6;IV7;IV7_ESP;IV8ESP;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1_3;II2;II3;II3_1;II4_1;II4_2;II4_3;II53;II5_1;II61;II6_1;II71;II7_ESP;II8ESP;II8_ESP;II9ESP;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITFAYEQ10;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCFFR;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
392831;1;1;2014;1;43;S;2;579;1;;4;1;;4;1;1;1;;1;1;1;2;2;1;2;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;0;3;2900;01;02;02;01;;02;966.66668701172;01;02;01;01;;01;1;0;98;0;0;0;10010
388065;1;1;2014;1;43;S;2;533;1;;2;2;;4;2;1;1;;1;1;1;2;2;1;2;2;1;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;6750;05;05;05;04;;05;1687.5;03;03;03;03;;02;1;4;98;0;0;0;00000
389449;1;1;2014;1;43;S;2;593;1;;3;2;;4;2;1;1;;1;1;1;2;2;1;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;14600;08;09;09;08;;08;3650.0;07;07;06;07;;06;1;0;98;0;0;0;10010
387903;1;1;2014;1;43;S;2;548;1;;3;1;;4;1;1;1;;1;1;1;2;2;1;2;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;20000;10;10;10;10;;09;4000.0;07;07;07;07;;07;1;0;3;4;0;0;10000
388712;1;1;2014;1;43;S;2;614;1;;1;1;;4;1;1;1;;1;1;1;2;2;1;2;1;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;3200;02;02;02;02;;02;3200.0;06;06;06;06;;06;1;0;98;0;0;0;00000
393223;1;1;2014;1;43;S;2;636;1;;1;1;;4;2;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2300;01;01;01;01;;01;2300.0;04;04;04;04;;04;1;0;97;0;0;0;00010
389137;1;1;2014;1;43;S;2;609;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;4000;02;02;02;02;;03;2000.0;03;04;03;03;;03;2;0;98;0;0;0;10100
399163;1;1;2014;1;43;S;2;558;1;;4;1;;3;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;14000;08;09;09;08;;08;4666.6665039063;08;08;08;08;;08;96;0;2;0;0;0;10000
401506;1;1;2014;1;43;S;2;514;1;;2;1;;2;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;10000;07;07;07;06;;06;10000.0;10;10;10;10;;10;1;0;98;0;0;0;00000
395481;1;1;2014;1;43;S;2;506;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;6000;04;04;04;04;;04;1500.0;02;03;02;02;;02;2;0;1;0;0;0;00000
