CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
318580;2011;1;4;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
313201;2011;1;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
315596;2011;1;4;2;1;1;4;1;1;1;1;1;1;4;3;3;1;1
315818;2011;1;2;2;1;1;2;1;1;1;1;1;1;3;2;1;1;1
318770;2011;1;1;2;4;1;2;1;1;1;1;1;1;1;1;3;1;1
313499;2011;1;4;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
313595;2011;1;2;2;2;1;9;1;1;1;1;1;2;2;1;2;1;1
291283;2011;1;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
291546;2011;1;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
291318;2011;1;2;2;2;2;2;1;1;1;1;1;1;3;2;1;1;1
291902;2011;1;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
290670;2011;1;4;2;2;1;9;1;1;1;1;1;1;4;3;1;1;1
292486;2011;1;2;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
320362;2011;1;2;2;2;1;4;1;1;1;1;1;1;3;1;3;1;1
319300;2011;1;2;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
323282;2011;1;2;2;2;1;9;1;1;1;1;1;1;3;1;3;1;1
322173;2011;1;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
324992;2011;1;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
320978;2011;1;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
321107;2011;1;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
315533;2011;1;1;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
317428;2011;1;1;2;2;1;2;1;1;1;1;1;1;4;1;1;1;1
313465;2011;1;3;2;1;1;4;1;1;1;1;1;1;2;2;3;1;1
314345;2011;1;1;2;1;1;4;1;1;1;1;1;1;2;1;3;1;1
315210;2011;1;3;2;1;1;2;1;1;1;1;1;1;2;2;3;1;1
316777;2011;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
314602;2011;1;3;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1
314600;2011;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1
298716;2011;1;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
295815;2011;1;1;2;2;1;1;1;1;1;1;1;1;4;1;1;1;1
299302;2011;1;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
290296;2011;1;2;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
288768;2011;1;3;2;2;1;9;1;1;1;1;1;1;4;2;1;1;1
292097;2011;1;1;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
290932;2011;1;1;2;1;1;9;1;1;1;1;1;1;3;1;1;1;1
293144;2011;1;2;2;2;1;9;1;1;1;1;1;1;1;1;1;1;1
300557;2011;1;1;2;2;1;9;1;1;1;1;1;1;2;1;2;1;1
291160;2011;1;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
292404;2011;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1
323316;2011;1;3;2;1;1;4;1;1;1;1;1;1;7;3;3;1;1
321930;2011;1;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
324960;2011;1;2;2;2;1;9;1;1;1;1;1;1;3;2;2;1;1
323519;2011;1;1;2;2;1;9;1;1;1;1;1;1;3;1;2;1;1
322628;2011;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
323598;2011;1;2;2;2;1;9;1;1;1;1;1;1;3;1;2;1;1
