CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNORPTHLNLPCDEFNFF00635640";2020;2;1;1;41;;7;275;1;;3;2;;4;1;1;1;;1;1;1;3;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;65000;"08";"08";"09";;;"09";13000;"05";"05";"06";;;"05";249;1;0;3;0;0;0
"TQRMNORUVHLNLPCDEFNFF00635727";2020;2;1;1;41;;7;275;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;1;2;60000;"07";"08";"09";;;"08";20000;"07";"07";"08";;;"08";372;97;0;98;0;0;0
"TQRMNORWTHKOLOCDEFNFF00652927";2020;2;1;1;41;;7;494;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;17000;"02";"02";"02";;;"02";8500;"03";"03";"04";;;"03";500;2;0;98;0;0;0
"TQRMNORWVHKOLOCDEFNFF00652959";2020;2;1;1;41;;7;443;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;6;1;5;78000;"09";"09";"09";;;"09";13000;"05";"05";"06";;;"05";356;96;0;98;0;0;0
"TQRMNOQSTHMOKMCDEFNFF00629426";2020;2;1;1;41;;7;187;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;1;4;3;2;0;1;2;2;2;0;2;0;2;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;18600;"02";"02";"03";;;"03";4650;"01";"01";"02";;;"01";145;1;0;2;3;0;0
"TQRMNOSQYHMOKMCDEFNFF00629459";2020;2;1;1;41;;7;187;1;;6;2;;4;1;1;1;;1;1;2;3;2;2;1;6;4;1;1;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;5;1;4;42880;"06";"06";"07";;;"07";8576;"03";"03";"04";;;"03";116;2;0;5;0;0;0
"TQRMNOSSVHMOKMCDEFNFF00629431";2020;2;1;1;41;;7;187;1;;4;2;;4;1;1;1;;1;1;2;3;2;2;1;4;3;2;0;1;2;1;2;0;2;0;2;;2;;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;44000;"06";"06";"07";;;"07";11000;"04";"04";"05";;;"04";233;2;0;1;3;0;0
"TQRMNOTPTHMOKMCDEFNFF00629427";2020;2;1;1;41;;7;187;1;;2;2;;4;1;1;1;;1;1;2;3;2;2;1;2;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;0;1;5000;"01";"01";"01";;;"01";5000;"01";"01";"02";;;"01";109;1;0;98;0;0;0
"TQRMNORPTHLLKMCDEFNFF00635712";2020;2;1;1;41;;7;569;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;50000;"07";"07";"08";;;"07";50000;"10";"10";"10";;;"10";841;1;0;98;0;0;0
"TQRMNOPTVHMLKNCDEFNFF00629458";2020;2;1;1;41;;7;126;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;46000;"06";"06";"07";;;"07";15333,33;"06";"06";"07";;;"06";131;2;0;3;0;0;0
"TQRMNORRQHLMKQCDEFNFF00635695";2020;2;1;1;41;;7;200;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;88000;"09";"09";"10";;;"09";22000;"07";"07";"09";;;"08";249;2;0;3;0;0;0
"TQRMNOPRSHJOKPCDEFNFF00657417";2020;2;1;1;41;;7;242;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;6;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;19000;"02";"02";"03";;;"03";19000;"07";"07";"08";;;"08";268;1;0;98;0;0;0
"TQRMNOPSQHJOKPCDEFNFF00657418";2020;2;1;1;41;;7;242;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;128000;"10";"10";"10";;;"10";32000;"09";"09";"10";;;"09";329;2;0;98;0;0;0
"TQRMNOQXVHJOKPCDEFNFF00657419";2020;2;1;1;41;;7;242;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;2;0;1;0;0;0
"TQRMNOQYRHJOKPCDEFNFF00657420";2020;2;1;1;41;;7;242;1;;2;2;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;4;"COCINA ELECTRICA";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;15000;"01";"01";"02";;;"01";15000;"05";"05";"07";;;"06";279;1;0;98;0;0;0
"TQRMNOPPWHMOKRCDEFNFF00629472";2020;2;1;1;41;;7;286;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;147000;"10";"10";"10";;;"10";49000;"10";"10";"10";;;"10";411;2;0;1;3;0;0
"TQRMNOPPYHMOKRCDEFNFF00629395";2020;2;1;1;41;;7;387;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;1;2;24000;"03";"03";"04";;;"04";8000;"03";"03";"03";;;"03";434;1;0;2;0;0;0
"TQRMNOPQPHMOKRCDEFNFF00629504";2020;2;1;1;41;;7;286;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;70000;"08";"09";"09";;;"09";35000;"09";"09";"10";;;"09";362;2;0;1;0;0;0
"TQRMNOQTTHMOKRCDEFNFF00629408";2020;2;1;1;41;;7;525;1;;3;2;;6;1;1;1;;1;1;1;3;2;2;2;3;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;42000;"06";"06";"07";;;"06";6000;"02";"02";"02";;;"02";492;2;0;3;4;0;0
"TQRMNOPUPHMLKNCDEFNFF00653017";2020;2;1;1;41;;7;139;1;;7;1;;2;1;1;1;;1;1;1;1;2;2;2;7;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;2;0;98;0;0;0
"TQRMNOQYQHMLKNCDEFNFF00629453";2020;2;1;1;41;;7;139;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;45000;"06";"06";"07";;;"07";22500;"07";"08";"09";;;"08";156;96;0;2;0;0;0
"TQRMNOQYRHMLKNCDEFNFF00629440";2020;2;1;1;41;;7;152;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;60980;"08";"08";"09";;;"08";30490;"09";"09";"10";;;"09";299;1;0;98;0;0;0
"TQRMNOQYTHMLKNCDEFNFF00629452";2020;2;1;1;41;;7;152;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;10000;"01";"01";"01";;;"01";10000;"04";"04";"05";;;"04";210;1;0;98;0;0;0
"TQRMNOQUPHMOKRCDEFNFF00629399";2020;2;1;1;41;;7;286;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;42000;"06";"06";"07";;;"06";14000;"05";"05";"06";;;"05";339;2;0;1;0;0;0
"TQRMNOQQVHMLKSCDEFNFF00629409";2020;2;2;1;41;;7;604;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;15000;"01";"01";"02";;;"01";15000;"05";"05";"07";;;"06";773;1;0;98;0;0;0
"TQRMNOPYYHKMKPCDEFPCH00653210";2020;2;1;1;44;;9;377;1;;2;1;;4;1;1;1;;1;1;1;1;2;1;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;135000;"10";"10";"10";;;"10";45000;"10";"10";"09";;;"10";413;2;0;1;3;0;0
"TQRMNOSYTHKMKPCDEFPCH00653168";2020;2;1;1;44;;9;543;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;150000;"10";"10";"10";;;"10";75000;"10";"10";"10";;;"10";663;1;0;2;0;0;0
"TQRMNOSYVHKMKPCDEFPCH00653159";2020;2;1;1;44;;9;543;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;86150;"09";"09";"08";;;"08";21537,5;"07";"07";"06";;;"06";680;3;1;2;0;0;0
"TQRMNORPRHLOKOCDEFPCH00635995";2020;2;1;1;44;;9;373;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;80000;"09";"09";"08";;;"08";16000;"06";"06";"04";;;"05";357;1;2;3;4;0;0
"TQRMNOTVWHLOKOCDEFPCH00635948";2020;2;1;1;44;;9;373;1;;2;1;;1;1;1;1;;1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;7;;2;;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;36500;"05";"05";"04";;;"04";18250;"07";"07";"05";;;"05";367;1;2;98;0;0;0
"TQRMNOPTWHMOKMCDEFPCH00629811";2020;2;1;1;44;;9;386;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;7;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;50000;"07";"07";"05";;;"06";10000;"04";"04";"03";;;"03";461;2;0;98;0;0;0
"TQRMNOPTXHMOKMCDEFPCH00629826";2020;2;1;1;44;;9;476;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;7;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;44600;"06";"06";"05";;;"05";8920;"03";"03";"02";;;"02";567;1;0;98;0;0;0
"TQRMNOPUQHMOKMCDEFPCH00629800";2020;2;1;1;44;;9;386;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;6;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;47000;"06";"07";"05";;;"05";15666,67;"06";"06";"04";;;"04";355;2;1;3;0;0;0
"TQRMNORVPHMOKMCDEFPCH00629757";2020;2;1;1;44;;9;331;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;60000;"07";"08";"06";;;"06";30000;"08";"09";"08";;;"08";339;1;2;98;0;0;0
"TQRMNORVQHMOKMCDEFPCH00629801";2020;2;1;1;44;;9;354;1;;4;1;;4;1;1;1;;1;1;1;1;2;1;2;4;1;1;1;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;45000;"06";"06";"05";;;"05";22500;"07";"08";"06";;;"07";413;1;2;98;0;0;0
"TQRMNORVRHMOKMCDEFPCH00629812";2020;2;1;1;44;;9;354;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;66000;"08";"08";"07";;;"07";33000;"09";"09";"08";;;"08";416;1;2;98;0;0;0
"TQRMNORVSHMOKMCDEFPCH00629736";2020;2;1;1;44;;9;476;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;68000;"08";"08";"07";;;"07";34000;"09";"09";"08";;;"09";532;1;2;98;0;0;0
"TQRMNORVTHMOKMCDEFPCH00629737";2020;2;1;1;44;;9;307;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;240000;"10";"10";"10";;;"10";80000;"10";"10";"10";;;"10";352;1;3;2;0;0;0
"TQRMNOSXPHMOKNCDEFPCH00629738";2020;2;1;1;44;;9;1073;1;;1;2;;1;1;1;1;;1;1;1;3;1;1;2;1;1;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;2;3;35000;"05";"05";"03";;;"03";7000;"02";"02";"01";;;"02";1023;1;2;5;0;0;0
