"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOPXXHJOLNCDEOJAH00697825";2020;4;1;1;44;"NO";93;68;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;115000;"9";"10";"9";"";"10";"9";57500;"10";"10";"9";"";"10";"9";142;1;0;2;0;0;0
"TQRMNOPURHLKKMCDEHJGH00649393";2020;4;1;1;40;"SI";23;275;1;"";5;1;"";3;1;1;1;"";1;1;1;2;2;2;2;5;4;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;96;0;98;0;0;0
"TQRMNOPTRHLNLLCDEHGHJ00649114";2020;4;1;1;44;"NO";20;156;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;1;2;3;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;1;0;0;0
"TQRMNOQTUHLNLLCDEHGHJ00649100";2020;4;1;1;44;"NO";20;154;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;51000;"6";"6";"4";"";"6";"5";51000;"10";"10";"9";"";"10";"9";175;1;0;98;0;0;0
"TQRMNOSTRHMNLMCDEHGHJ00681142";2020;4;2;1;44;"NO";20;110;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;35000;"4";"4";"3";"";"4";"2";17500;"5";"5";"4";"";"5";"4";106;1;0;98;0;0;0
"TQRMNOQXSHMNLNCDEHGHJ00649118";2020;4;1;1;44;"NO";20;90;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;1;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;56000;"6";"7";"5";"";"7";"5";18666,67;"6";"6";"4";"";"6";"4";134;2;0;1;0;0;0
"TQTMNOPSQHMNKMCDEFKID00647045";2020;4;1;1;43;"SI";4;998;1;"";3;1;"";4;1;1;1;"";1;1;1;3;2;2;2;3;3;2;0;1;2;2;2;0;2;0;4;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOPTRHJKKQCDEHGHJ00680972";2020;4;1;1;44;"NO";20;155;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;75000;"8";"8";"7";"";"8";"7";15000;"5";"4";"3";"";"4";"3";175;1;0;2;0;0;0
"TQRMNOQSVHKNKMCDEIOAH00663771";2020;4;1;1;43;"NO";38;60;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;2;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;86000;"8";"9";"9";"";"9";"9";21500;"7";"6";"6";"";"7";"7";67;2;0;1;3;4;0
"TQRMNOSPYHKNKMCDEIOAH00696121";2020;4;1;1;43;"NO";38;65;1;"";5;1;"";1;1;1;1;"";1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;53000;"6";"6";"6";"";"6";"6";26500;"7";"8";"7";"";"8";"7";74;2;0;98;0;0;0
"TQRMNOQYQHJMKNCDEIOAH00695956";2020;4;1;1;43;"NO";38;100;1;"";6;1;"";1;1;1;1;"";1;1;1;1;2;2;2;6;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;38000;"4";"4";"4";"";"4";"4";38000;"9";"9";"9";"";"9";"9";114;96;0;1;0;0;0
"TQRMNOQSUHKMKPCDEIOAH00696076";2020;4;1;1;43;"NO";38;146;1;"";3;1;"";2;2;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;40000;"5";"5";"5";"";"5";"4";20000;"6";"6";"6";"";"6";"6";161;2;0;98;0;0;0
"TQRMNOTPQHKMKPCDEIOAH00696082";2020;4;1;1;43;"NO";38;146;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;36000;"4";"4";"4";"";"4";"4";12000;"4";"3";"3";"";"3";"3";178;1;3;2;0;0;0
"TQRMNOUSYHKMKPCDEIOAH00696083";2020;4;1;1;43;"NO";38;146;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;82500;"8";"9";"8";"";"9";"9";41250;"9";"9";"9";"";"9";"9";178;1;2;98;0;0;0
"TQRMNOTRWHMLKPCDEIHJF00644711";2020;4;1;1;44;"NO";31;248;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;65000;"7";"7";"6";"";"7";"5";32500;"8";"8";"7";"";"9";"7";255;1;0;2;0;0;0
"TQRMNORUQHMOKQCDEIHJF00644712";2020;4;1;1;44;"NO";31;406;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;0;2;137000;"10";"10";"9";"";"10";"9";68500;"10";"10";"10";"";"10";"10";411;1;2;98;0;0;0
"TQRMNORPRHLNKPCDEIHJF00650268";2020;4;1;1;44;"NO";31;270;2;"";5;4;"flexiplast";4;1;1;1;"";1;1;1;1;2;2;2;5;4;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;87000;"8";"9";"7";"";"9";"7";21750;"7";"7";"5";"";"7";"5";299;1;0;3;4;0;0
"TQRMNOQVVHLLKQCDEIHJF00655620";2020;4;1;1;44;"NO";31;138;1;"";7;4;"porcelanato";4;1;1;1;"";1;1;1;1;2;2;2;7;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;120000;"10";"10";"9";"";"10";"9";60000;"10";"10";"9";"";"10";"9";155;97;0;1;0;0;0
"TQRMNORXWHLLKQCDEIHJF00650269";2020;4;1;1;44;"NO";31;157;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;8;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;4;0;4;71000;"8";"8";"6";"";"8";"6";17750;"5";"5";"4";"";"6";"3";154;2;0;98;0;0;0
"TQRMNOSRSHLOKNCDEIHJF00650264";2020;4;1;1;44;"NO";31;508;1;"";4;1;"";3;2;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;7;1;6;210000;"10";"10";"10";"";"10";"10";30000;"8";"8";"7";"";"8";"7";523;1;2;3;4;0;0
"TQRMNORTRHJLKMCDEIKAH00694184";2020;4;1;1;43;"SI";34;1793;1;"";5;1;"";3;1;1;1;"";1;1;1;1;2;2;2;5;3;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;4;1;3;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;1;2;96;0;0;0
"TQRMNOTRQHKOKOCDEIKAH00663661";2020;4;1;1;43;"SI";34;625;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;3;0;2;1;0;0
"TQSMNORWTHJOMNCDEGJBF00675460";2020;4;1;1;43;"SI";13;1899;1;"";2;2;"";2;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;3;0;3;36000;"4";"4";"4";"4";"";"4";12000;"4";"3";"3";"4";"";"3";1928;1;0;3;0;0;0
"TQRMNOQTSHKMMPCDEGJBF00661059";2020;4;1;1;43;"SI";13;999;1;"";2;1;"";2;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;43760;"5";"5";"5";"5";"";"6";8752;"2";"2";"2";"3";"";"2";1084;2;3;98;0;0;0
"TQRMNOQRRHJMMPCDEGJBF00675437";2020;4;1;1;43;"SI";13;812;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;105000;"9";"9";"9";"9";"";"10";35000;"8";"9";"8";"8";"";"8";933;1;2;98;0;0;0
"TQRMNOSUWHLMKNCDEIMBF00651693";2020;4;1;1;43;"NO";36;150;1;"";6;1;"";3;1;1;1;"";1;1;1;1;2;2;2;6;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;40000;"5";"5";"5";"";"5";"5";40000;"9";"9";"9";"";"9";"9";160;1;0;98;0;0;0
"TQRMNOQSVHJMLLCDEHIBB00681925";2020;4;1;1;40;"NO";22;199;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;0;2;42000;"5";"5";"5";"";"5";"5";21000;"6";"6";"8";"";"7";"8";201;97;0;1;2;0;0
