CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;ESTADO;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125098;2004;1;1;79;32;1;2;4;2;1;4;3;1;0;0;0;0;0;0;0;0;0;0;368;0;368;0;0;0;368;0;0
125397;2004;1;2;67;32;1;2;2;1;2;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125515;2004;1;2;74;32;1;2;2;1;1;4;3;1;0;0;0;0;0;0;0;0;0;0;440;0;440;200;0;0;240;0;0
125558;2004;1;1;54;32;1;2;2;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
125558;2004;1;2;51;32;1;2;7;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125558;2004;1;2;25;32;1;1;7;2;1;5;1;0;2;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;30
125558;2004;1;2;20;32;1;1;6;2;1;5;1;0;2;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100
125599;2004;1;1;55;32;1;2;4;1;1;1;1;0;2;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;800
125599;2004;1;2;48;32;1;2;4;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2004;1;1;17;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2004;1;1;15;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2004;1;2;77;32;1;2;2;1;1;4;1;0;4;0;0;0;0;0;0;0;0;0;240;0;240;0;0;0;240;0;0
125783;2004;1;1;50;32;1;2;7;1;3;2;1;0;3;1;1;1;1;0;1;0;1;1;750;0;0;0;0;0;0;750;750
125783;2004;1;2;49;32;1;2;6;1;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125783;2004;1;1;26;32;1;2;7;1;3;5;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125783;2004;1;1;22;32;1;1;7;2;3;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125783;2004;1;1;18;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125854;2004;1;2;86;32;1;2;4;2;1;5;3;1;0;0;0;0;0;0;0;0;0;0;690;0;690;100;0;0;240;0;0
125854;2004;1;2;62;32;1;2;4;2;1;3;1;0;3;2;1;2;2;0;2;2;1;2;780;0;0;0;0;0;0;700;780
126175;2004;1;1;76;32;1;2;7;1;1;2;2;0;2;0;0;0;0;0;0;0;0;0;1850;0;1850;0;0;0;1850;0;0
126175;2004;1;2;77;32;1;2;4;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;220;0;220;0;0;0;220;0;0
126225;2004;1;1;45;32;1;2;6;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;5500;0;1500;0;0;0;0;4000;4000
126225;2004;1;2;41;32;1;2;6;2;3;1;1;0;2;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100
126225;2004;1;2;21;32;1;1;7;2;1;5;1;0;2;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100
126225;2004;1;2;18;32;1;2;4;1;1;5;2;0;3;0;0;0;0;0;0;0;0;0;55;0;0;0;55;0;0;0;0
126247;2004;1;1;31;32;1;2;4;2;4;2;1;0;2;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;1000
126247;2004;1;2;19;32;1;2;4;2;4;2;1;0;3;2;2;2;2;5;2;2;1;4;400;0;0;0;0;0;0;400;400
126247;2004;1;2;22;32;1;2;6;1;4;5;1;0;3;2;2;2;2;5;2;2;1;4;300;0;0;0;0;0;0;300;300
126326;2004;1;1;54;32;1;2;7;1;3;2;1;0;2;0;0;0;0;0;0;0;0;0;1700;0;0;0;0;0;0;0;1700
126326;2004;1;2;52;32;1;2;7;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;1000
126326;2004;1;2;12;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126768;2004;1;2;51;32;1;2;7;1;3;5;1;0;3;1;1;1;1;0;1;0;1;1;3000;0;0;0;0;0;0;3000;3000
127045;2004;1;2;62;32;1;2;4;1;3;4;3;1;0;0;0;0;0;0;0;0;0;0;360;0;360;0;0;0;240;0;0
127045;2004;1;1;32;32;1;2;4;2;1;5;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127065;2004;1;1;29;32;1;1;7;2;3;5;1;0;3;1;1;1;1;0;1;0;1;1;3620;0;280;0;0;0;0;3340;3340
127406;2004;1;2;64;32;1;2;2;2;3;4;3;1;0;0;0;0;0;0;0;0;0;0;502;0;502;0;0;0;502;0;0
127406;2004;1;2;49;32;2;3;0;0;3;5;3;1;0;0;0;0;0;0;0;0;0;0;120;0;120;0;0;0;120;0;0
127890;2004;1;2;49;32;1;2;4;2;1;3;2;0;3;0;0;0;0;0;0;0;0;0;190;0;190;0;0;0;0;0;0
127890;2004;1;1;22;32;1;1;7;2;1;5;2;0;2;0;0;0;0;0;0;0;0;0;150;0;0;0;150;0;0;0;0
127890;2004;1;1;20;32;1;1;4;2;1;5;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127890;2004;1;1;19;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127890;2004;1;1;10;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2004;1;1;52;32;1;2;7;2;1;2;1;0;2;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
128148;2004;1;2;47;32;1;2;7;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;820;0;0;0;120;0;0;700;700
128148;2004;1;2;15;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2004;1;1;12;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;1;43;32;1;2;6;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;4700;0;0;0;0;0;0;3200;3200
128301;2004;1;2;43;32;1;2;6;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;2;13;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;2;10;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;2;3;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2004;1;1;46;32;1;2;2;1;1;2;1;0;3;2;2;2;2;5;2;1;1;4;500;0;0;0;0;0;0;0;500
128340;2004;1;2;55;32;1;2;4;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2004;1;1;18;32;1;1;7;2;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2004;1;2;21;32;1;1;7;2;1;5;1;0;3;1;1;1;2;0;2;2;3;1;500;0;0;0;0;0;0;500;500
128714;2004;1;2;78;32;1;2;4;1;1;5;3;1;0;0;0;0;0;0;0;0;0;0;1600;0;1600;0;0;0;1600;0;0
128771;2004;1;1;60;32;1;2;2;1;2;2;3;1;0;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;300;0;0
128771;2004;1;2;43;32;1;2;2;1;3;2;1;0;3;1;1;1;1;0;1;0;2;1;1000;0;0;0;0;0;0;1000;1000
128771;2004;1;2;19;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128771;2004;1;2;10;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128921;2004;1;2;32;32;1;2;4;2;1;4;1;0;3;1;1;1;1;0;1;0;1;1;620;0;0;0;0;0;0;620;620
128921;2004;1;2;59;32;1;2;2;1;3;4;3;4;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;0
128921;2004;1;1;37;32;1;2;4;2;1;5;1;0;3;2;2;2;2;5;2;2;1;4;800;0;0;0;0;0;0;800;800
129220;2004;1;2;44;32;1;2;7;1;1;5;1;0;3;1;1;1;1;0;1;0;1;1;540;0;0;0;140;0;0;400;400
129328;2004;1;2;30;32;1;2;7;1;2;3;1;0;2;0;0;0;0;0;0;0;0;0;2400;0;0;0;400;0;0;0;2000
129400;2004;1;1;62;32;1;2;2;1;1;2;1;0;3;2;2;2;2;5;2;2;1;4;800;0;0;0;0;0;0;800;800
