CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125098;2005;1;1;80;32;1;2;4;2;1;4;1;0;0;0;0;0;0;0;0;0;0;583;0;583;0;0;0;583;0;0
125188;2005;1;1;26;32;1;2;4;1;2;2;0;2;0;0;0;0;0;0;0;0;0;450;0;150;150;0;0;0;0;300
125188;2005;1;2;27;32;1;2;6;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125188;2005;1;2;-1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125242;2005;1;2;71;32;1;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;855;0;855;0;0;0;575;0;0
125436;2005;1;1;54;32;1;2;4;1;1;2;0;2;0;0;0;0;0;0;0;0;0;5000;0;0;0;0;0;0;0;5000
125436;2005;1;2;54;32;1;2;4;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125436;2005;1;2;27;32;1;2;4;1;1;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125436;2005;1;1;20;32;1;1;4;2;1;5;0;3;0;0;0;0;0;0;0;0;0;80;0;0;0;80;0;0;0;0
125436;2005;1;2;18;32;1;1;7;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125533;2005;1;1;75;32;1;2;7;1;3;2;0;2;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0;0;0;450
125533;2005;1;2;66;32;1;2;7;2;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125533;2005;1;1;94;32;1;2;7;1;5;4;1;0;0;0;0;0;0;0;0;0;0;600;0;600;0;0;0;600;0;0
125533;2005;1;2;76;32;1;2;2;1;3;4;0;3;1;1;1;2;0;2;2;1;4;150;0;0;0;0;0;0;150;150
125558;2005;1;1;55;32;1;2;4;2;1;2;0;2;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;0;2500
125558;2005;1;2;52;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;500
125558;2005;1;2;26;32;1;1;7;2;1;5;0;3;2;2;2;2;5;2;2;1;4;150;0;0;0;0;0;0;150;150
125558;2005;1;2;21;32;1;1;6;2;1;5;0;3;2;2;2;2;5;2;2;1;2;300;0;0;0;50;0;0;250;250
125599;2005;1;1;56;32;1;2;4;1;1;2;0;2;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0;3000
125599;2005;1;2;49;32;1;2;4;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2005;1;1;18;32;1;2;3;1;1;5;1;0;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;300;0;0
125599;2005;1;1;16;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2005;1;2;78;32;1;2;4;1;1;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126225;2005;1;1;46;32;1;2;6;1;1;1;0;3;1;1;1;1;0;1;0;1;1;5500;0;0;0;0;0;0;5000;5000
